date,open,close,high,low,volume
2020-11-01,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-02,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-03,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-05,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-09,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-12,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-15,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-16,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-18,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-19,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-22,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-23,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-25,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-26,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-29,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-11-30,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-01,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-02,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-03,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-06,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-07,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-09,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-13,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-14,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-15,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-16,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-20,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-21,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-22,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-23,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-27,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-28,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-29,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-30,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2020-12-31,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-03,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-05,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-06,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-12,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-13,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-14,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-18,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-19,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-20,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-21,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-25,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-26,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-27,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-01-31,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-01,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-02,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-03,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-07,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-09,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-14,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-15,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-16,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-18,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-21,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-22,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-23,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-25,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-02-28,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-01,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-02,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-03,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-07,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-09,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-14,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-15,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-16,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-18,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-21,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-22,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-23,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-25,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-28,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-29,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-30,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-03-31,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-01,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-05,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-06,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-07,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-12,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-13,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-14,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-15,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-18,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-19,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-20,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-21,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-22,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-25,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-26,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-27,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-04-28,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-05,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-06,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-09,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-18,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-19,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-20,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-23,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-25,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-26,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-27,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-30,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-05-31,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-01,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-02,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-03,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-06,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-07,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-09,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-10,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-13,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-14,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-15,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-16,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-17,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-20,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-21,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-22,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-23,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-24,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-27,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-28,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-29,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-06-30,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-04,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-05,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-06,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-07,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-08,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-11,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-12,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
2021-07-13,0.07800000160932541,0.07800000160932541,0.07800000160932541,0.07800000160932541,0
